Transaction Amount, Transaction Type, Time of Transaction, Fraudulent
200, 1, 2023-02-01 08:00:00, 0
150, 0, 2023-02-02 10:30:00, 1
180, , 2023-02-03 12:45:00, 0
300, 1, 2023-02-04 15:20:00, 0
250, 0, 2023-02-05 17:00:00, 1
320, 1, 2023-02-06 18:30:00, 0
170, 0, 2023-02-07 20:45:00, 0
190, 1, 2023-02-08 22:00:00, 1
230, 0, 2023-02-09 23:15:00, 0
280, 1, 2023-02-10 08:30:00, 0
210, 0, 2023-02-11 10:00:00, 1
240, 1, 2023-02-12 11:20:00, 0
270, 0, 2023-02-13 13:00:00, 0
260, 1, 2023-02-14 15:45:00, 1
290, 0, 2023-02-15 17:30:00, 0
350, 1, 2023-02-16 19:00:00, 0
330, 0, 2023-02-17 20:45:00, 1
380, 1, 2023-02-18 22:15:00, 0
170, 0, 2023-02-19 23:45:00, 0
200, 1, 2023-02-20 08:15:00, 1
150, 0, 2023-02-21 09:30:00, 0
280, 1, 2023-02-22 11:00:00, 0
230, 0, 2023-02-23 12:45:00, 1
270, 1, 2023-02-24 14:30:00, 0
250, 0, 2023-02-25 16:00:00, 0
320, 1, 2023-02-26 18:15:00, 1
190, 0, 2023-02-27 19:45:00, 0
220, 1, 2023-02-28 21:30:00, 0
260, 0, 2023-03-01 23:00:00, 1
